path,label
id01201/Z0J6Nvk888w/00082/real_video_fake_audio.mp4,1
id01214/tbAyUYFOnjU/00047/real.mp4,0
id06415/y4Np6D14fLE/00474/fake_video_fake_audio.mp4,1
id05453/ehlhrqSWPbo/00252/real.mp4,0
id03461/kdUYFOcgeSg/00104/real.mp4,0
id05723/GS1qM3HxHgM/00114/real_video_fake_audio.mp4,1
id06866/A9nMH7SoeNs/00120/fake_video_fake_audio.mp4,1
id06124/XBKZHkNh4so/00090/fake_video_real_audio.mp4,1
id04964/WWq7kLjv2OE/00112/fake_video_fake_audio.mp4,1
id06953/2FBV4DqEEDE/00011/real.mp4,0
id06412/YJgKEXfpo8Q/00122/fake_video_real_audio.mp4,1
id04738/lNod558Livs/00418/real.mp4,0
id08467/2v0AVidjvMg/00013/real_video_fake_audio.mp4,1
id00092/lq_es1IbM8c/00045/fake_video_fake_audio.mp4,1
id08804/E3_SndyuFN0/00078/real_video_fake_audio.mp4,1
id02445/ioHGgHNBO48/00080/real.mp4,0
id08704/WCDxI7-Vcuw/00377/real.mp4,0
id08424/u5DLrhuK2L0/00065/fake_video_fake_audio.mp4,1
id01696/McAqbQqQPEo/00057/real_video_fake_audio.mp4,1
id06105/QnklyNsZvak/00044/fake_video_fake_audio.mp4,1
id03727/ZjSYvTYXViM/00325/real_video_fake_audio.mp4,1
id01648/Z8jVqRp3V2M/00277/real.mp4,0
id03158/hHLlymvN4J4/00077/real_video_fake_audio.mp4,1
id05986/PYZcyjh7g44/00073/real.mp4,0
id07848/2ZwHwy1fh1o/00011/real_video_fake_audio.mp4,1
id06949/inSScmNE42A/00312/real.mp4,0
id05816/SCbhADNyfwg/00211/real_video_fake_audio.mp4,1
id04842/VGEWro-tqPY/00329/fake_video_real_audio.mp4,1
id07814/cpjmotW3yOU/00088/fake_video_fake_audio.mp4,1
id00568/cbZiMY9nltQ/00319/fake_video_real_audio.mp4,1
id04684/O-ycJrT8JHs/00188/fake_video_real_audio.mp4,1
id01332/DbCLa7XsVAg/00064/fake_video_real_audio.mp4,1
id04731/6Gphtvy2u24/00010/real.mp4,0
id02299/2HPeWgEaSgQ/00025/real_video_fake_audio.mp4,1
id06948/TeWxZN1oVzA/00197/real.mp4,0
id03839/I_gXLmyQvBM/00163/fake_video_fake_audio.mp4,1
id04736/QtUhX1s2-Q0/00067/fake_video_real_audio.mp4,1
id00903/7MYJSbyJYNU/00025/fake_video_real_audio.mp4,1
id02497/kKbFn3u5Tko/00181/real.mp4,0
id00741/OeY3u2GcEUE/00176/fake_video_fake_audio.mp4,1
id01040/yWv210QWOFE/00418/real_video_fake_audio.mp4,1
id03976/GViQ_9sGthU/00126/real_video_fake_audio.mp4,1
id05893/eJdL70qcP1w/00339/fake_video_real_audio.mp4,1
